time,buys,price,sells,standard_deviation,score
2018-02-18 00:36:35,220,1592.425917431192,216,6.011917662013819,3.822049205833319
2018-02-18 00:46:37,59,1598.047761194027,142,4.410181172335485,5.943142742775003
2018-02-18 00:56:47,116,1610.0136194895576,315,9.17881219961576,6.693457475989586
2018-02-18 01:06:49,185,1634.8566391752581,300,5.51296526602923,-1.4714803435844737
2018-02-18 01:16:50,188,1635.6536390532528,150,5.278015984593339,-4.661264672489668
2018-02-18 01:26:58,185,1624.9773786407754,124,3.089891639735005,-4.261436274021823
2018-02-18 01:36:58,275,1614.8594484412404,142,7.163853807444709,-3.5879177798967197
2018-02-18 01:46:58,289,1605.3008971553595,168,3.632172111810906,-2.260630350148308
2018-02-18 01:57:02,173,1599.9458823529415,133,4.969336567470525,-1.9610174197443007
2018-02-18 02:07:08,81,1610.7075565610849,140,4.501303521883643,-13.869027973125704
2018-02-18 04:03:09,285,1561.2420526315789,95,9.127543336826772,1.3384477519285298
2018-02-18 04:13:09,70,1566.513903743316,117,5.221679227858517,-0.5316249823779092
2018-02-18 04:23:13,62,1563.780416666667,10,3.2123612972650903,0.7169517509901944
2018-02-18 04:37:17,83,1565.264396551723,33,1.6057495235564834,0.7752109705495234
2018-02-18 04:47:39,14,1566.6694827586211,44,0.6862426996378114,0.9962079046929622
2018-02-18 04:57:55,50,1572.6472596153844,158,4.3219833510144445,-2.016066329636984
2018-02-18 05:07:55,63,1577.216168224299,44,1.5918059131560376,-9.085231871280728
2018-02-18 05:18:08,278,1561.2603418803428,73,8.656802038601752,-12.374932196610908
2018-02-18 05:28:09,588,1529.6910124826593,133,13.748271749205307,-8.929651012993203
2018-02-18 05:38:16,446,1499.847590361446,135,9.957523835805256,-0.8568479097964325
2018-02-18 05:48:17,116,1496.8014325068882,247,7.183875626867735,0.015152709126469238
2018-02-18 05:58:27,199,1496.477789855073,77,9.653094899033801,0.22095489640635235
2018-02-18 08:15:12,53,1497.577582417582,38,1.3871017620032098,-0.4543072819668406
2018-02-18 08:25:29,17,1501.8438095238096,46,1.7829193365220464,-4.609470921101042
2018-02-18 08:35:33,198,1490.8583458646617,68,6.0411361377860615,-3.840467082995435
2018-02-18 08:45:42,56,1482.2766355140193,51,2.9986364327698993,-3.651439018183208
2018-02-18 08:55:42,230,1474.3621194029859,105,6.823776648377124,-3.6653497987299466
2018-02-18 09:05:52,258,1458.2407766990295,154,6.467468095900899,2.788341153492447
2018-02-18 09:15:53,63,1469.359449541285,46,2.249736716446061,-1.2152424876308379
2018-02-18 09:25:58,32,1473.5718421052632,82,2.3157782844625996,-6.635324237204759
2018-02-18 09:36:03,137,1462.4344311377245,30,7.076779571777925,-9.22711864394208
2018-02-18 09:46:06,294,1439.5900000000008,56,7.9076948781370096,-7.012229736953185
2018-02-18 09:56:14,374,1411.4082254697257,105,10.06344956272769,3.2302396666021505
2018-02-18 10:06:22,100,1410.0313636363637,186,11.83404841914422,9.869785403710996
2018-02-18 10:16:30,64,1445.1694581280792,139,4.30139342779297,-0.9649626376569092
2018-02-18 10:26:30,103,1439.2223863636364,73,4.520680005746863,2.081025679587975
2018-02-18 10:36:43,46,1441.8211956521734,46,1.8640184748987056,3.6011883361390464
2018-02-18 10:46:57,18,1441.1856578947377,58,2.507691502644948,10.291749532052261
2018-02-18 10:57:31,59,1464.796927710844,273,10.07054677005107,9.299638361140731
2018-02-18 11:07:32,41,1490.0349781659388,188,5.37990053839444,5.316035507406543
2018-02-18 11:17:37,22,1507.758659003834,239,6.660644990413413,0.43125844650007
2018-02-18 11:27:43,80,1515.4438787878778,85,8.09146221103332,-4.9066369772764755
2018-02-18 11:37:44,141,1492.2976016260184,105,6.317578291348218,4.970813138178917
2018-02-18 11:48:00,47,1509.357692307692,109,4.707076757142726,0.017738448770736402
2018-02-18 11:58:05,22,1512.0427500000005,58,4.597598007383864,-2.0756313245246263
2018-02-18 12:08:20,100,1507.1891780821886,46,6.127833480119033,-1.8030320786834382
2018-02-18 12:18:31,21,1505.183636363636,34,2.766811334131407,-3.3147888025802428
